Region,Morocco
entries,755094
unique Species,452
min_elevation,0
max_elevation,4130
min_year,2000
max_year,2023
species_list,"['Accipiter gentilis', 'Accipiter nisus', 'Acrocephalus arundinaceus', 'Acrocephalus baeticatus', 'Acrocephalus melanopogon', 'Acrocephalus paludicola', 'Acrocephalus palustris', 'Acrocephalus schoenobaenus', 'Acrocephalus scirpaceus', 'Actitis hypoleucos', 'Actitis macularius', 'Aegypius monachus', 'Agapornis roseicollis', 'Aix sponsa', 'Alaemon alaudipes', 'Alauda arvensis', 'Alca torda', 'Alcedo atthis', 'Alectoris barbara', 'Ammomanes cinctura', 'Ammomanes deserti', 'Anas acuta', 'Anas americana', 'Anas clypeata', 'Anas crecca', 'Anas cyanoptera', 'Anas discors', 'Anas penelope', 'Anas platyrhynchos', 'Anas querquedula', 'Anas strepera', 'Anser albifrons', 'Anser anser', 'Anthus campestris', 'Anthus cervinus', 'Anthus hodgsoni', 'Anthus petrosus', 'Anthus pratensis', 'Anthus richardi', 'Anthus rubescens', 'Anthus spinoletta', 'Anthus trivialis', 'Apus affinis', 'Apus apus', 'Apus caffer', 'Apus pallidus', 'Apus unicolor', 'Aquila adalberti', 'Aquila chrysaetos', 'Aquila fasciata', 'Aquila nipalensis', 'Aquila pomarina', 'Aquila rapax', 'Ardea alba', 'Ardea cinerea', 'Ardea purpurea', 'Ardeola ralloides', 'Arenaria interpres', 'Asio capensis', 'Asio flammeus', 'Asio otus', 'Athene noctua', 'Aythya affinis', 'Aythya collaris', 'Aythya ferina', 'Aythya fuligula', 'Aythya marila', 'Aythya nyroca', 'Botaurus stellaris', 'Branta bernicla', 'Branta leucopsis', 'Bubo ascalaphus', 'Bubulcus ibis', 'Bucanetes githagineus', 'Burhinus oedicnemus', 'Buteo buteo', 'Buteo rufinus', 'Cairina moschata', 'Calandrella brachydactyla', 'Calandrella rufescens', 'Calcarius lapponicus', 'Calidris alba', 'Calidris alpina', 'Calidris bairdii', 'Calidris canutus', 'Calidris ferruginea', 'Calidris fuscicollis', 'Calidris maritima', 'Calidris melanotos', 'Calidris minuta', 'Calidris temminckii', 'Calonectris diomedea', 'Calonectris edwardsii', 'Caprimulgus aegyptius', 'Caprimulgus europaeus', 'Caprimulgus ruficollis', 'Carduelis carduelis', 'Carduelis citrinella', 'Carpodacus erythrinus', 'Cecropis daurica', 'Certhia brachydactyla', 'Cettia cetti', 'Charadrius alexandrinus', 'Charadrius dubius', 'Charadrius hiaticula', 'Charadrius morinellus', 'Chersophilus duponti', 'Chlamydotis undulata', 'Chlidonias hybrida', 'Chlidonias leucopterus', 'Chlidonias niger', 'Chloris chloris', 'Chroicocephalus genei', 'Chroicocephalus philadelphia', 'Chroicocephalus ridibundus', 'Ciconia ciconia', 'Ciconia nigra', 'Cinclus cinclus', 'Circaetus gallicus', 'Circus aeruginosus', 'Circus cyaneus', 'Circus macrourus', 'Circus pygargus', 'Cisticola juncidis', 'Cisticola lugubris', 'Clamator glandarius', 'Clangula hyemalis', 'Coccothraustes coccothraustes', 'Coloeus monedula', 'Columba livia', 'Columba oenas', 'Columba palumbus', 'Coracias garrulus', 'Corvus albus', 'Corvus corax', 'Corvus cornix', 'Corvus ruficollis', 'Corvus splendens', 'Coturnix coturnix', 'Crex crex', 'Cuculus canorus', 'Curruca cantillans', 'Curruca iberiae', 'Curruca melanocephala', 'Curruca subalpina', 'Cursorius cursor', 'Cyanistes caeruleus', 'Cyanistes teneriffae', 'Cygnus atratus', 'Cygnus olor', 'Delichon urbicum', 'Dendrocopos major', 'Egretta garzetta', 'Egretta gularis', 'Elanus caeruleus', 'Emberiza calandra', 'Emberiza cia', 'Emberiza cirlus', 'Emberiza hortulana', 'Emberiza pusilla', 'Emberiza sahari', 'Emberiza schoeniclus', 'Emberiza striolata', 'Eremalauda dunni', 'Eremophila alpestris', 'Eremophila bilopha', 'Eremopterix nigriceps', 'Erithacus rubecula', 'Erythropygia galactotes', 'Falco biarmicus', 'Falco columbarius', 'Falco eleonorae', 'Falco naumanni', 'Falco peregrinus', 'Falco subbuteo', 'Falco tinnunculus', 'Falco vespertinus', 'Ficedula albicollis', 'Ficedula hypoleuca', 'Ficedula speculigera', 'Francolinus bicalcaratus', 'Fratercula arctica', 'Fringilla coelebs', 'Fringilla montifringilla', 'Fulica atra', 'Fulica cristata', 'Fulmarus glacialis', 'Galerida cristata', 'Galerida macrorhyncha', 'Galerida theklae', 'Gallinago gallinago', 'Gallinago media', 'Gallinula chloropus', 'Gallus gallus', 'Garrulus glandarius', 'Gavia arctica', 'Gavia immer', 'Gavia stellata', 'Gelochelidon nilotica', 'Geronticus eremita', 'Glareola pratincola', 'Grus grus', 'Gypaetus barbatus', 'Gyps africanus', 'Gyps fulvus', 'Gyps rueppellii', 'Haematopus ostralegus', 'Hieraaetus pennatus', 'Himantopus himantopus', 'Hippolais icterina', 'Hippolais polyglotta', 'Hirundo rustica', 'Hydrobates pelagicus', 'Hydrocoloeus minutus', 'Hydroprogne caspia', 'Ichthyaetus audouinii', 'Ichthyaetus melanocephalus', 'Iduna opaca', 'Iduna pallida', 'Ixobrychus minutus', 'Jynx torquilla', 'Lanius collurio', 'Lanius excubitor', 'Lanius isabellinus', 'Lanius meridionalis', 'Lanius senator', 'Larus argentatus', 'Larus cachinnans', 'Larus canus', 'Larus delawarensis', 'Larus dominicanus', 'Larus fuscus', 'Larus glaucoides', 'Larus hyperboreus', 'Larus marinus', 'Larus michahellis', 'Larus smithsonianus', 'Leucophaeus atricilla', 'Leucophaeus pipixcan', 'Limicola falcinellus', 'Limnodromus scolopaceus', 'Limosa lapponica', 'Limosa limosa', 'Linaria cannabina', 'Locustella luscinioides', 'Locustella naevia', 'Lophophanes cristatus', 'Loxia curvirostra', 'Lullula arborea', 'Luscinia megarhynchos', 'Luscinia svecica', 'Lymnocryptes minimus', 'Mareca strepera x Anas platyrhynchos', 'Marmaronetta angustirostris', 'Melanitta nigra', 'Melanocorypha calandra', 'Meleagris gallopavo', 'Melierax metabates', 'Melopsittacus undulatus', 'Mergus merganser', 'Mergus serrator', 'Merops apiaster', 'Merops persicus', 'Merops superciliosus', 'Milvus migrans', 'Milvus milvus', 'Monticola saxatilis', 'Monticola solitarius', 'Morus bassanus', 'Motacilla alba', 'Motacilla cinerea', 'Motacilla citreola', 'Motacilla flava', 'Muscicapa striata', 'Myiopsitta monachus', 'Neophron percnopterus', 'Netta rufina', 'Numenius arquata', 'Numenius phaeopus', 'Numida meleagris', 'Nycticorax nycticorax', 'Oceanites oceanicus', 'Oceanodroma castro', 'Oceanodroma leucorhoa', 'Oenanthe deserti', 'Oenanthe hispanica', 'Oenanthe isabellina', 'Oenanthe leucopyga', 'Oenanthe leucura', 'Oenanthe lugens', 'Oenanthe moesta', 'Oenanthe oenanthe', 'Oriolus oriolus', 'Otis tarda', 'Otus scops', 'Oxyura jamaicensis', 'Oxyura leucocephala', 'Pandion haliaetus', 'Parabuteo unicinctus', 'Parus major', 'Passer domesticus', 'Passer hispaniolensis', 'Passer luteus', 'Passer montanus', 'Passer simplex', 'Passerina cyanea', 'Pastor roseus', 'Pavo cristatus', 'Pelagodroma marina', 'Pelecanus onocrotalus', 'Periparus ater', 'Pernis apivorus', 'Petronia petronia', 'Phalacrocorax aristotelis', 'Phalacrocorax carbo', 'Phalacrocorax lucidus', 'Phalaropus fulicarius', 'Phasianus colchicus', 'Philomachus pugnax', 'Phoeniconaias minor', 'Phoenicopterus roseus', 'Phoenicopterus ruber', 'Phoenicurus moussieri', 'Phoenicurus ochruros', 'Phoenicurus phoenicurus', 'Phylloscopus bonelli', 'Phylloscopus collybita', 'Phylloscopus humei', 'Phylloscopus ibericus', 'Phylloscopus inornatus', 'Phylloscopus proregulus', 'Phylloscopus sibillatrix', 'Phylloscopus trochilus', 'Pica mauritanica', 'Pica pica', 'Picus vaillantii', 'Platalea leucorodia', 'Plegadis falcinellus', 'Pluvialis apricaria', 'Pluvialis dominica', 'Pluvialis squatarola', 'Podiceps cristatus', 'Podiceps nigricollis', 'Porphyrio alleni', 'Porphyrio porphyrio', 'Porzana parva', 'Porzana porzana', 'Porzana pusilla', 'Prunella collaris', 'Prunella modularis', 'Psittacula eupatria', 'Psittacula krameri', 'Pterocles alchata', 'Pterocles coronatus', 'Pterocles lichtensteinii', 'Pterocles orientalis', 'Pterocles senegallus', 'Ptyonoprogne fuligula', 'Ptyonoprogne obsoleta', 'Ptyonoprogne rupestris', 'Puffinus baroli', 'Puffinus gravis', 'Puffinus griseus', 'Puffinus mauretanicus', 'Puffinus puffinus', 'Puffinus yelkouan', 'Pycnonotus barbatus', 'Pyrrhocorax graculus', 'Pyrrhocorax pyrrhocorax', 'Pyrrhula pyrrhula', 'Rallus aquaticus', 'Ramphocoris clotbey', 'Recurvirostra avosetta', 'Regulus ignicapilla', 'Remiz pendulinus', 'Rhodopechys alienus', 'Rhodopechys sanguineus', 'Riparia paludicola', 'Riparia riparia', 'Rissa tridactyla', 'Saxicola rubetra', 'Saxicola rubicola', 'Saxicola torquatus', 'Scolopax rusticola', 'Scotocerca inquieta', 'Serinus canaria', 'Serinus serinus', 'Sitta europaea', 'Spilopelia senegalensis', 'Spinus spinus', 'Stercorarius longicaudus', 'Stercorarius parasiticus', 'Stercorarius pomarinus', 'Stercorarius skua', 'Sterna dougallii', 'Sterna hirundo', 'Sterna paradisaea', 'Sternula albifrons', 'Sternula antillarum', 'Streptopelia decaocto', 'Streptopelia roseogrisea', 'Streptopelia turtur', 'Strix aluco', 'Struthio camelus', 'Sturnus unicolor', 'Sturnus vulgaris', 'Sula leucogaster', 'Sylvia atricapilla', 'Sylvia borin', 'Sylvia cantillans', 'Sylvia communis', 'Sylvia conspicillata', 'Sylvia curruca', 'Sylvia deserti', 'Sylvia deserticola', 'Sylvia hortensis', 'Sylvia melanocephala', 'Sylvia nana', 'Sylvia undata', 'Tachybaptus ruficollis', 'Tachymarptis melba', 'Tadorna ferruginea', 'Tadorna tadorna', 'Tchagra senegalus', 'Tetrax tetrax', 'Thalasseus bengalensis', 'Thalasseus maximus', 'Thalasseus sandvicensis', 'Tringa erythropus', 'Tringa flavipes', 'Tringa glareola', 'Tringa melanoleuca', 'Tringa nebularia', 'Tringa ochropus', 'Tringa stagnatilis', 'Tringa totanus', 'Troglodytes troglodytes', 'Tryngites subruficollis', 'Turdoides fulva', 'Turdus iliacus', 'Turdus merula', 'Turdus philomelos', 'Turdus pilaris', 'Turdus torquatus', 'Turdus viscivorus', 'Turnix sylvaticus', 'Tyto alba', 'Upupa epops', 'Uria aalge', 'Vanellus vanellus', 'Xema sabini', 'Xenus cinereus']"
month_count,"{3: 145797, 7: 17633, 4: 134583, 8: 19030, 5: 42134, 11: 55405, 10: 53874, 6: 21744, 1: 64640, 2: 88066, 9: 47738, 12: 64450}"
year_count,"{2015: 50519, 2010: 12291, 2012: 21978, 2000: 7441, 2002: 5640, 2001: 10003, 2003: 9484, 2004: 9748, 2005: 11272, 2006: 11879, 2009: 11473, 2007: 15651, 2008: 12197, 2016: 89129, 2017: 87510, 2019: 98951, 2018: 102131, 2014: 40287, 2013: 30861, 2011: 15668, 2022: 9774, 2021: 46899, 2023: 1289, 2020: 43019}"
elevation_count,"{0: 162510, 30: 16007, 200: 1769, 1170: 223, 740: 6539, 1140: 701, 550: 2570, 10: 200423, 1550: 8314, 430: 1516, 1610: 938, 540: 907, 1460: 1516, 460: 7277, 630: 17240, 80: 3433, 620: 4586, 1420: 498, 240: 1143, 710: 1560, 1530: 1737, 1270: 1707, 480: 1602, 340: 791, 3160: 34, 170: 1883, 690: 2722, 440: 1295, 1940: 240, 1780: 224, 20: 52917, 70: 4666, 160: 1502, 1470: 4764, 1600: 965, 2090: 199, 1240: 313, 2470: 49, 510: 614, 60: 14322, 2610: 9277, 640: 1785, 1100: 2846, 1760: 1068, 590: 1621, 470: 4001, 100: 2185, 1120: 1473, 150: 945, 290: 624, 90: 7339, 760: 2119, 1450: 526, 1500: 887, 1290: 604, 1130: 885, 40: 10179, 390: 507, 700: 7469, 320: 656, 1090: 9161, 530: 764, 940: 1251, 950: 415, 190: 1838, 1580: 3136, 1010: 866, 990: 403, 660: 599, 560: 1112, 850: 1083, 180: 2552, 870: 1562, 380: 2170, 680: 818, 1520: 3100, 1700: 397, 860: 1039, 140: 3218, 1180: 505, 790: 796, 330: 580, 1320: 1559, 1790: 484, 270: 683, 120: 4097, 960: 369, 1250: 457, 1330: 398, 1200: 412, 1680: 1207, 350: 298, 250: 1322, 280: 3451, 730: 3490, 900: 935, 2080: 1160, 1300: 584, 1640: 643, 130: 1683, 1280: 718, 650: 717, 750: 6161, 50: 12074, 500: 622, 670: 761, 1660: 2117, 1350: 237, 1340: 390, 300: 451, 1190: 255, 1960: 85, 450: 1216, 110: 2195, 210: 1840, 220: 3226, 230: 1898, 4080: 79, 1570: 1065, 370: 454, 1980: 67, 600: 547, 1820: 589, 1710: 209, 520: 924, 2120: 115, 2390: 131, 770: 1274, 1540: 1700, 720: 1836, 1590: 1221, 410: 1411, 2730: 64, 970: 661, 1630: 468, 490: 875, 1040: 547, 1870: 248, 420: 2255, 1720: 1691, 1830: 460, 1080: 812, 610: 987, 800: 1212, 2130: 115, 1620: 1605, 810: 825, 1480: 2550, 1380: 394, 2000: 201, 1770: 238, 820: 873, 1070: 347, 1400: 566, 580: 925, 2300: 160, 2340: 101, 890: 574, 1260: 687, 310: 1107, 1230: 313, 1840: 312, 1150: 1313, 920: 1155, 1510: 757, 2710: 97, 2330: 107, 1810: 848, 1360: 976, 1390: 334, 1740: 706, 1060: 279, 1030: 505, 1560: 1130, 2180: 89, 2440: 22, 1110: 1488, 1910: 276, 1000: 552, 2600: 713, 1310: 307, 880: 564, 570: 678, 2220: 143, 3170: 260, 2480: 26, 1220: 833, 2310: 50, 1020: 429, 1210: 274, 1440: 675, 780: 1112, 1650: 451, 1160: 896, 910: 683, 840: 397, 930: 754, 1050: 315, 1670: 567, 400: 1336, 1920: 393, 1890: 160, 2640: 452, 2140: 357, 980: 448, 1730: 309, 1410: 289, 2620: 829, 3100: 3, 1750: 276, 2670: 131, 1490: 383, 1880: 254, 2690: 348, 2020: 98, 2860: 46, 2590: 112, 1370: 397, 260: 936, 2040: 122, 2360: 243, 1850: 233, 1950: 48, 2030: 86, 2160: 123, 2210: 95, 2630: 386, 1900: 105, 2650: 226, 2100: 229, 2250: 146, 2400: 92, 2370: 159, 2760: 45, 2200: 87, 2500: 54, 2660: 182, 2700: 80, 1970: 76, 2680: 87, 2070: 126, 2260: 109, 2290: 122, 2060: 67, 830: 334, 2110: 86, 2460: 47, 2230: 89, 360: 427, 1430: 531, 1990: 55, 2350: 140, 2170: 152, 1690: 283, 1860: 90, 2050: 144, 2010: 172, 2490: 58, 1800: 431, 3060: 28, 2190: 80, 2320: 58, 3670: 6, 1930: 155, 2770: 32, 2150: 66, 4130: 4, 2240: 131, 2820: 17, 4000: 14, 2580: 111, 2550: 21, 2530: 58, 2270: 50, 2510: 96, 2540: 78, 2900: 40, 4120: 9, 2280: 54, 3220: 4, 2450: 19, 2520: 54, 2740: 31, 2380: 56, 3790: 1, 2750: 87, 3140: 41, 2930: 10, 2570: 27, 2720: 67, 3130: 1, 2940: 31, 2800: 19, 2910: 6, 3660: 4, 2840: 7, 2780: 13, 3540: 5, 2880: 8, 2830: 6, 2890: 16, 2810: 20, 2920: 33, 2410: 14, 3020: 3, 3290: 1, 3210: 1, 3250: 1, 3560: 7, 3820: 5, 2560: 30, 2420: 14, 3010: 1, 2430: 11, 3230: 3, 2960: 1, 3070: 1, 4110: 1, 3110: 20, 3050: 2, 3000: 1, 3240: 19, 3450: 13, 3600: 1, 2870: 4, 3080: 1, 3180: 2, 2990: 2, 2790: 3, 4060: 1, 3510: 1, 2850: 3, 3040: 1}"
